Npart,Niter,posx,posy,Ix,Iy,Itheta,Ox,Oy,Otheta,f,t
10,100,8,2,21,25,-25,21.001595937643373,25.325157988051608,-25.001786153165522,0.30809057758770797,10.884845099993981
10,100,8,2,21,25,-25,21.01481548712817,25.321257542669084,-24.99871275189082,0.30837189554610855,14.735528199991677
10,100,8,2,21,25,-25,21.003385932528086,7.409202431279233,-24.983345164784552,0.38517801994134515,10.162020799994934
10,100,8,2,21,25,-25,27.58513494661482,-3.648430689661083,23.555848183458686,0.4796882104601968,10.379664800013416
10,100,8,2,28,-20,23,28.003292851199678,-20.013594755976182,23.019462774796626,0.3417625417712079,8.197812300000805
10,100,8,2,28,-20,23,-1.8068042339454216,30.0,-30.0,0.4867986473122571,7.904833399981726
10,100,8,2,28,-20,23,27.990683713525698,-19.99951234075582,23.024449369336853,0.3421781122472998,8.400788499973714
10,100,8,2,28,-20,23,28.000947998395,-10.041368371812712,23.11528093520795,0.38463828939508427,8.859081300004618
10,100,8,2,28,-20,23,14.967577250097767,-20.0285287223954,23.19651742702741,0.454513029131042,8.299004800006514
10,100,8,2,28,-20,23,13.836237124720235,-19.99430501416699,23.04095076820809,0.45411381969731596,8.738461700006155
10,100,8,2,23,-24,22,23.002564080272872,-23.999151189343078,22.08936887457644,0.3255163178642248,10.142085700004827
10,100,8,2,23,-24,22,23.00359014020268,-16.07578779103329,22.040737374658875,0.3725096565953243,8.997908599994844
10,100,8,2,23,-24,22,23.00142632767562,-10.208740416521055,22.0670818431969,0.37288986160123944,8.092906300007598
10,100,8,2,23,-24,22,23.000408504023547,-23.99550950229632,22.05644929070913,0.325622775265881,7.902314800012391
10,100,8,2,23,-24,22,23.000357550985193,-16.739410295784605,22.047574801848345,0.3723309602425443,7.840906600002199
10,100,8,2,23,-24,22,23.00915943587362,-23.990463897595045,22.023263381808935,0.32542126661274606,8.149227200017776
10,100,8,2,29,-23,27,30.0,-22.342443198691623,25.922251323029812,0.38261994855095344,7.124367400014307
10,100,8,2,29,-23,27,30.0,-22.44807031330434,25.626377219666495,0.38279207875757615,8.520529200002784
10,100,8,2,29,-23,27,-5.608767811373444,30.0,-30.0,0.485206797794958,7.402287999982946
10,100,8,2,29,-23,27,29.044538042788204,-22.993451975824215,26.85060434212111,0.3515040595296739,9.147978900000453
10,100,8,2,29,-23,27,30.0,-22.796844037919087,26.395179686487694,0.38106440149851106,8.706720600021072
10,100,8,2,29,-23,27,29.029789306802062,-8.853339537531694,27.19078310714824,0.3901222708552808,9.25561380002182
10,100,8,2,-28,26,-26,-27.999172870415485,13.316370803068327,-25.997416161133977,0.3824317347070887,12.579489900002955
10,100,8,2,-28,26,-26,28.13590626583067,-10.689264039849329,30.0,0.4886152220547275,12.130344500008505
10,100,8,2,-28,26,-26,-9.579906333928221,26.001555248366042,-26.0328807728952,0.4196182564026536,13.104991300002439
