Npart	Niter	posx	posy	Ix	Iy	Itheta	Ox	Oy	Otheta	f	t										
10	100	5	5	-1	-19	-26	-0,983476456	-18,99797369	-25,97488609	0,253730355	4,2530386										
10	100	5	5	-1	-19	-26	-0,994846195	-18,99595979	-25,99463791	0,253730355	4,2122637										
10	100	5	5	-1	-19	-26	-1,181463388	-18,99921175	-25,96977148	0,253680727	4,2878164										
10	100	5	5	-1	-19	-26	-0,986003555	-18,99624296	-25,9785068	0,253730355	4,1960246										
10	100	5	5	-1	-19	-26	-0,985263868	-18,99530576	-25,97835725	0,253730355	4,2932526										
10	100	5	8	6	5	-12	6,004979161	5,071182307	-11,99807783	0,311800467	6,0940491										
10	100	5	8	6	5	-12	6,003505851	5,052758992	-12,0006396	0,312137515	5,9662423										
10	100	5	8	6	5	-12	6,005250651	5,071767206	-11,99717683	0,311800467	5,9904106										
10	100	5	8	6	5	-12	6,006725933	5,070927483	-11,99867707	0,311800467	6,0421544										
10	100	5	8	6	5	-12	6,003480371	5,070738314	-11,99884161	0,311800467	5,9310672										
10	100	5	8	6	5	-12	6,004079702	5,07101424	-11,99787911	0,311800467	5,9368403										
10	100	5	8	6	-23	23	6,003408041	-23,11179509	22,99833831	0,328604101	5,8109336										
10	100	5	8	6	-23	23	6,000996539	-6,569555716	23,02465831	0,327859911	5,9196488										
10	100	5	8	6	-23	23	6,002376065	-1,677687215	23,04467517	0,32778291	5,8054567										
10	100	5	8	6	-23	23	6,005224303	-1,520059877	22,99734984	0,327468493	5,8748986										
10	100	5	8	6	-23	23	6,00241722	-1,514755603	23,00281412	0,32764816	5,8407263										
10	100	5	8	6	-23	23	6,003716445	-5,80823689	23,01410353	0,328058827	5,912734										
10	100	5	8	-10	-4	-9	-9,999297314	-4,106968121	-9,000624026	0,298392055	5,8605075										
10	100	5	8	-10	-4	-9	-9,996193351	-4,012989496	-9,008559531	0,298461231	6,2021819										
10	100	5	8	-10	-4	-9	-9,996633872	-4,11135442	-9,003633647	0,298392055	5,9073936										
10	100	5	8	-10	-4	-9	-9,997249053	-4,071335109	-8,962751185	0,298691815	5,9741745										
10	100	5	8	-10	-4	-9	-9,997154927	-4,011707092	-9,004296208	0,298461231	5,81986										
10	100	5	8	-10	-4	-9	-9,972210484	-3,977294603	-9,09054221	0,30144346	5,9216949										
10	100	5	8	8	20	-22	8,005414903	7,698484595	-22,01350766	0,324185968	6,0173852										
10	100	5	8	8	20	-22	8,004492372	5,179133884	-21,9980458	0,323482324	6,4637134										
10	100	5	8	8	20	-22	8,005509181	4,087491035	-22,00320532	0,323869651	5,9079733										
10	100	5	8	8	20	-22	8,005880443	4,093323674	-21,99795962	0,323869651	6,4900215										
10	100	5	8	8	20	-22	8,003273275	5,253026967	-21,99803271	0,323843829	6,3237845										
10	100	5	8	8	20	-22	8,004421636	4,079552891	-22,00031239	0,323869651	5,938383										
10	100	5	8	6	12	0	6,003481316	12,06137206	0,000214577	0,316296721	6,1388182										
10	100	5	8	6	12	0	6,006464015	2,464606066	-0,001437714	0,325398647	6,1203484										
10	100	5	8	6	12	0	6,002915226	12,06497979	-0,004807613	0,316226559	6,4693582										
10	100	5	8	6	12	0	6,006507608	2,50772791	0,00165523	0,325149891	6,1087608										
10	100	5	8	6	12	0	6,002454248	12,06499993	-0,004500131	0,316226559	6,0499928										
10	100	5	8	6	12	0	6,000298438	12,06531496	-0,00330199	0,316226559	6,2309431										
10	100	5	8	25	-5	-1	25,09789132	-4,785125962	-1,034487908	0,33125363	6,3172128										
10	100	5	8	25	-5	-1	25,12141394	1,812938638	-0,945938816	0,334775122	5,9264783										
10	100	5	8	25	-5	-1	25,12220831	-4,833901836	-1,072014242	0,332073064	6,2472595										
10	100	5	8	25	-5	-1	25,09900004	-4,786876426	-1,035602545	0,33125363	6,0114027										
10	100	5	8	25	-5	-1	25,10955905	-4,236954641	-1,048276125	0,332342751	5,887862										
10	100	5	8	25	-5	-1	25,13278445	-4,778300488	-1,024635838	0,332031573	5,8793916										
10	100	5	8	12	-14	-16	12,00325226	-6,718506358	-16,00259303	0,314628731	5,9754149										
10	100	5	8	12	-14	-16	12,00218291	-6,737740768	-15,98801024	0,314840481	6,5703534										
10	100	5	8	12	-14	-16	12,00399408	-6,734222575	-15,99933134	0,314628731	5,9716624										
10	100	5	8	12	-14	-16	12,00286657	-6,725119798	-15,99819305	0,314628731	6,2371364										
10	100	5	8	12	-14	-16	12,00498528	-6,729181518	-15,99609662	0,314628731	5,9624899										
10	100	5	8	12	-14	-16	12,00457279	-6,761687341	-15,97644914	0,314577397	6,0269298										
10	100	5	8	-14	2	0	-13,99418016	1,947908682	0,02405203	0,305117444	6,3927662										
10	100	5	8	-14	2	0	-13,99981994	1,989891064	-0,008483225	0,304763881	6,2693934										
10	100	5	8	-14	2	0	-13,99245398	1,925170469	0,018309528	0,305117444	6,0791986										
10	100	5	8	-14	2	0	-13,99354615	1,98987142	-0,008793396	0,304763881	6,5486736										
10	100	5	8	-14	2	0	-13,99282377	1,932139252	0,018134806	0,305117444	6,0238049										
10	100	5	8	-14	2	0	-13,9915323	1,989335129	-0,009504867	0,304763881	6,6008538										
10	100	5	8	6	-12	-4	5,986262485	-12,08346617	-3,987571424	0,316787855	6,3988126										
10	100	5	8	6	-12	-4	6,005720222	-2,512325355	-3,999498045	0,325220053	6,1526002										
10	100	5	8	6	-12	-4	6,000585014	-2,482181932	-3,965255279	0,325723944	6,3157284										
10	100	5	8	6	-12	-4	6,003996274	-5,633047827	-4,043323575	0,325845133	6,1556813										
10	100	5	8	6	-12	-4	6,003675425	-12,09153833	-3,971779932	0,316787855	6,3407278										
10	100	5	8	6	-12	-4	5,989767705	-12,05958594	-4,00059834	0,316775098	6,1505892										
10	100	2	8	8	4	-4	8,000512805	4,05775676	-3,998726219	0,26607825	9,0420142										
10	100	2	8	8	4	-4	8,005071938	4,008356289	-3,985974147	0,265803062	9,0584496										
10	100	2	8	8	4	-4	8,006170646	4,003025853	-3,991201299	0,265871859	9,0935358										
10	100	2	8	8	4	-4	8,003596674	4,001398971	-3,995098857	0,265871859	9,5529581										
10	100	2	8	8	4	-4	8,005763833	4,003092797	-3,990025883	0,265871859	9,0883973										
10	100	2	8	8	4	-4	8,00570908	4,00875113	-3,985669798	0,265803062	9,1879239										
10	100	2	8	19	2	-11	19,00322059	2,000376279	-10,99079962	0,294995399	9,3184522										
10	100	2	8	19	2	-11	19,00270076	2,000890211	-10,9917618	0,294995399	9,4790471										
10	100	2	8	19	2	-11	19,00058848	2,000999154	-10,99337805	0,294995399	9,3092888										
10	100	2	8	19	2	-11	19,00188509	2,000193834	-10,99127132	0,294995399	9,3544579										
10	100	2	8	19	2	-11	19,00159473	2,000543852	-10,99219634	0,294995399	9,2486508										
10	100	2	8	19	2	-11	19,00001279	2,001096181	-10,99412058	0,294995399	9,2763093										
10	100	2	8	14	-28	7	13,99016543	-27,99881016	7,101665879	0,310809463	9,8657268										
10	100	2	8	14	-28	7	14,00044282	-17,0822743	7,127397721	0,396389025	9,9062081										
10	100	2	8	14	-28	7	13,98884544	-27,99555791	7,100970283	0,310897435	9,8733246										
10	100	2	8	14	-28	7	14,00270428	-15,56921159	6,991134043	0,396160297	9,9900938										
10	100	2	8	14	-28	7	14,00320134	-21,55792679	7,116535116	0,396113378	9,8629378										
10	100	2	8	14	-28	7	14,04858789	-27,99210444	6,964606251	0,311240528	9,9191345										
10	100	2	8	-19	8	-17	-18,99772434	8,000538785	-17,00640144	0,301766444	9,6236847										
10	100	2	8	-19	8	-17	-18,99112817	8,000872314	-17,00317401	0,301766444	8,9269346										
10	100	2	8	-19	8	-17	-18,99432458	8,001081201	-17,00198095	0,301706337	9,4459268										
10	100	2	8	-19	8	-17	-18,99608774	7,993539056	-17,0031955	0,302021016	9,576766										
10	100	2	8	-19	8	-17	-18,99428758	8,001321917	-17,00327409	0,301766444	9,0673919										
10	100	2	8	-19	8	-17	-18,99143098	8,001243472	-17,00228434	0,301706337	9,6466994										
10	100	2	8	-8	4	-18	-7,998521309	4,003680291	-17,98913071	0,265786635	9,7306692										
10	100	2	8	-8	4	-18	-7,999577699	4,055680777	-18,00110868	0,265913288	9,1429001										
10	100	2	8	-8	4	-18	-7,997454528	4,004927686	-17,98855963	0,265786635	9,8691966										
10	100	2	8	-8	4	-18	-7,996244229	4,005537629	-17,98695059	0,265786635	9,6084533										
10	100	2	8	-8	4	-18	-7,999504113	4,046489895	-18,00140048	0,265913288	9,87615										
10	100	2	8	-8	4	-18	-7,99897234	4,05662447	-17,99976863	0,265852004	9,1019279										
